	camera_id	camera_location	bearing	street_name	LG_name	CWY
751	228387	POINT (116.058688 -31.885956)	90.0	Morrison Rd	Mundaring	Single
752	228955	POINT (115.770376 -32.152813)	173.49555184237715	Quill Wy	Cockburn (C)	Single
753	229085	POINT (116.093709 -31.988283)	74.4480146288945	Aldersyde Rd	Kalamunda	Single
754	229410	POINT (115.905154 -31.849122)	41.91234871523392	Bellefin Dr	Swan (C)	Right
755	229656	POINT (115.983502 -31.766634)	76.24549479534517	The Broadway	Swan (C)	Single
756	229861	POINT (115.974763 -31.781626)	13.122909860129823	Pinaster Pde	Swan (C)	Left
757	230051	POINT (115.980666 -31.779394)	243.18156947084634	Millhouse Rd	Swan (C)	Left
758	231365	POINT (115.988539 -31.984041)	43.56790381476526	Roe Hwy	Kalamunda	Right
759	231672	POINT (115.831514 -31.797448)	304.08004979291184	Hartman Dr	Wanneroo (C)	Left
760	231746	POINT (115.829919 -31.794643)	328.79380861192874	Hartman Dr	Wanneroo (C)	Right
761	232058	POINT (116.157644 -32.041145)	118.46235421625414	Pickering Brook Rd	Kalamunda	Single
763	232341	POINT (115.744065 -31.725701)	323.4033710907323	Connolly Dr	Joondalup (C)	Right
764	232358	POINT (115.740305 -31.71853)	328.339248903498	Connolly Dr	Joondalup (C)	Right
765	232676	POINT (116.014236 -32.148099)	288.7998851585976	Armadale Rd	Armadale (C)	Right
766	232809	POINT (115.739895 -31.725951)	255.2222805789562	Burns Beach Rd	Joondalup (C)	Right
767	232911	POINT (115.801742 -32.128881)	289.66926766397785	Beeliar Dr	Cockburn (C)	Left
768	233101	POINT (115.777634 -31.835137)	274.34500735801083	Warwick Rd	Joondalup (C)	Left
769	233298	POINT (115.743113 -31.821711)	259.86851390807067	Hepburn Av	Joondalup (C)	Right
770	233580	POINT (115.763507 -31.957245)	4.969740727346505	West Coast Hwy	Cambridge (T)	Single
772	234501	POINT (115.712229 -31.676411)	185.94686303911544	Marmion Av - Hester Av Rty	Wanneroo (C)	Single
773	234583	POINT (115.792131 -32.071262)	194.41359770201882	Melville Mandurah Hwy	Fremantle (C)	Left
774	234937	POINT (115.731083 -31.721699)	345.30268071905493	Marmion Av - Edinburgh Av Rty	Joondalup (C)	Single
775	235126	POINT (115.851067 -32.231305)	191.89897045437004	Thomas Rd on to Kwinana Fwy (Southbound)	Kwinana (C)	Single
776	236170	POINT (115.857884 -32.230011)	301.13897243905	Thomas Rd - Central Av Rty	Kwinana (C)	Single
777	236327	POINT (115.792153 -31.800264)	102.971934378507	Whitfords Av	Joondalup (C)	Right
778	236694	POINT (115.782867 -32.245317)	190.84880939572568	Mandurah Rd	Kwinana (C)	Single
779	237370	POINT (115.877825 -32.186306)	94.09662144306765	Wandi Dr	Kwinana (C)	Single
780	237403	POINT (115.879095 -32.260479)	281.87573757936354	Lydon Rd	Kwinana (C)	Single
781	237659	POINT (115.739244 -31.692529)	75.00492087098553	Neerabup Rd	Wanneroo (C)	Right
782	238752	POINT (115.973403 -32.003565)	12.994616792540285	Roe Hwy (Northbound) off to Orrong Rd & Welshpool Rd East	Canning (C)	Single
784	239139	POINT (115.848387 -32.159478)	60.98432847379053	Russell Rd	Cockburn (C)	Left
785	239232	POINT (115.832138 -31.755476)	261.8504291524203	Trichet Rd	Wanneroo (C)	Single
788	240576	POINT (115.877746 -31.847525)	350.3423722033464	Alexander Dr	Wanneroo (C)	Single
789	240833	POINT (115.849822 -32.046062)	91.52076966152077	Leach Hwy	Melville (C)	Left
790	240965	POINT (115.825662 -32.046195)	89.42656982356777	Leach Hwy	Melville (C)	Right
791	241169	POINT (116.076092 -31.759802)	9.039482798791767	Botanic Loop	Swan (C)	Single
792	241184	POINT (116.079224 -31.757155)	38.5359256800574	Botanic Loop	Swan (C)	Single
793	242554	POINT (115.761442 -31.82429)	350.88086493893735	Marmion Av	Joondalup (C)	Right
794	242616	POINT (115.754834 -31.782114)	349.9162210348017	Marmion Av	Joondalup (C)	Right
795	242632	POINT (115.754438 -31.775426)	354.2894068631825	Marmion Av	Joondalup (C)	Right
796	242782	POINT (115.697701 -31.650706)	318.4888370704251	Marmion Av	Wanneroo (C)	Right
797	242931	POINT (115.856782 -31.797888)	356.226382566663	Mirrabooka Av	Wanneroo (C)	Left
798	243353	POINT (115.806717 -31.698777)	38.19094981889447	Joondalup Dr	Wanneroo (C)	Single
799	243531	POINT (115.967312 -32.207134)	87.35420295899206	Thomas Rd	Serpentine - Jarrahdale	Single
800	243573	POINT (115.848526 -32.231623)	78.52237304081541	Thomas Rd	Kwinana (C)	Right
801	243732	POINT (116.077179 -32.152712)	359.5708261588827	Churchman Brook Rd	Armadale (C)	Single
802	243890	POINT (115.979631 -32.13752)	206.36340773768893	Lake Rd	Armadale (C)	Left
803	244254	POINT (116.012291 -32.096542)	183.9361661138666	Corfield St	Armadale (C)	Right
804	244573	POINT (115.923937 -32.147932)	276.51727291832117	Armadale Rd (Westbound) off to Nicholson Rd Rty	Armadale (C)	Single
805	245978	POINT (115.726605 -31.685812)	4.028263663980567	Connolly Dr	Wanneroo (C)	Right
806	246136	POINT (115.765958 -32.325402)	87.27368900660542	Safety Bay Rd	Rockingham (C)	Right
807	247110	POINT (116.138952 -31.860078)	27.552811572846338	Roland Rd	Mundaring	Single
810	247750	POINT (116.029068 -31.968757)	162.74827254005027	Holmes Rd	Kalamunda	Single
811	247859	POINT (116.049862 -31.849697)	89.92533783286433	Dalgety Rd	Swan (C)	Single
812	248386	POINT (115.893517 -31.856974)	0.24880144879927002	Malaga Dr	Swan (C)	Right
813	248547	POINT (115.967626 -31.798772)	201.60356572840902	Andrea Dr	Swan (C)	Single
814	248845	POINT (115.916323 -31.840822)	70.0168934756856	Hepburn Av	Swan (C)	Left
815	249487	POINT (115.968676 -31.805383)	104.21210473129105	Henley St	Swan (C)	Single
819	250520	POINT (116.028338 -32.009386)	125.07375449430498	Welshpool Rd East	Kalamunda	Left
821	251225	POINT (116.026111 -32.159673)	178.51213247140095	Albany Hwy	Armadale (C)	Right
822	251509	POINT (116.065258 -32.180908)	105.6758411639185	Albany Hwy	Armadale (C)	Left
823	251917	POINT (115.924907 -32.27517)	98.06550736504835	Leipold Rd	Serpentine - Jarrahdale	Single
824	252253	POINT (115.850498 -31.947413)	10.542761137628645	Mitchell Fwy	Perth (C)	Right
825	252349	POINT (115.860093 -31.794883)	106.37281652344029	Ocean Reef Upper Swan Hwy	Wanneroo (C)	Left
826	252367	POINT (115.901347 -31.795629)	86.13816874442944	Ocean Reef Upper Swan Hwy	Swan (C)	Left
827	253688	POINT (116.031712 -32.233389)	71.07446348766211	Nettleton Rd	Serpentine - Jarrahdale	Single
828	253996	POINT (116.143584 -31.899818)	107.5965338485679	Great Eastern Hwy	Mundaring	Left
829	254338	POINT (116.186169 -31.75814)	17.393322144346826	Reserve Rd	Swan (C)	Single
830	254383	POINT (115.977319 -31.654439)	355.40375339116997	Neaves Rd Rty on to Tonkin Hwy (Northbound)	Swan (C)	Single
831	254693	POINT (115.898209 -31.954099)	120.08968623872346	Graham Farmer Fwy	Victoria Park (T)	Left
832	255563	POINT (115.8394 -32.232186)	107.23410341194341	Thomas Rd	Kwinana (C)	Left
833	255794	POINT (115.963745 -32.131705)	128.80465101437778	Ranford Rd	Armadale (C)	Left
835	256004	POINT (115.847801 -32.087473)	236.6592926588357	Roe Hwy (Westbound) to Kwinana Fwy (Northbound)	Cockburn (C)	Single
836	256201	POINT (116.015832 -31.838693)	4.303298956883282	Great Northern Hwy	Swan (C)	Single
837	256231	POINT (116.022982 -31.787495)	359.86948592193846	Great Northern Hwy	Swan (C)	Single
838	256497	POINT (115.803281 -32.291686)	295.21060499233084	Kulija Rd	Rockingham (C)	Single
839	256501	POINT (115.801324 -32.290231)	321.5062222551358	Kulija Rd	Rockingham (C)	Single
841	258360	POINT (116.106584 -31.717791)	332.15332373753614	O'Brien Rd	Swan (C)	Single
842	258432	POINT (115.84638 -31.967607)	179.22925125289737	Kwinana Fwy	South Perth (C)	Left
843	258459	POINT (115.846025 -31.967221)	183.33385066100115	Kwinana Fwy	South Perth (C)	Right
844	258928	POINT (115.961453 -31.920441)	67.83365417743858	Great Eastern Hwy Bypa	Swan (C)	Left
845	259031	POINT (115.737707 -31.656704)	335.7722546819612	Wanneroo Rd	Wanneroo (C)	Right
846	259435	POINT (115.798563 -32.209462)	104.7040839068452	Anketell Rd	Kwinana (C)	Single
847	260195	POINT (115.88916 -32.291737)	279.2273671944031	Mundijong Rd	Serpentine - Jarrahdale	Single
848	260847	POINT (115.986265 -31.917853)	91.49661000779696	Great Eastern Hwy Bypa	Swan (C)	Right
849	260882	POINT (115.854481 -32.046927)	197.20297142033402	Leach Hwy (Eastbound) on to Kwinana Fwy (Southbound)	Melville (C)	Single
851	261094	POINT (115.820521 -31.901975)	329.067811388371	Mitchell Fwy	Stirling (C)	Left
852	261221	POINT (115.777086 -31.770035)	321.45321960436473	Mitchell Fwy	Joondalup (C)	Left
853	261524	POINT (115.783097 -31.81103)	357.6268496608927	Mitchell Fwy	Joondalup (C)	Right
854	262217	POINT (115.980914 -32.314022)	182.66300076570099	Wright Rd	Serpentine - Jarrahdale	Single
855	263138	POINT (116.015317 -32.049645)	172.1168606824981	Tonkin Hwy	Gosnells (C)	Right
856	263181	POINT (116.081178 -31.834453)	62.251320130851354	Toodyay Rd	Swan (C)	Single
858	263505	POINT (115.934804 -32.052751)	245.23454922961417	Roe Hwy (Westbound) off to Nicholson Rd	Gosnells (C)	Single
859	264011	POINT (116.255335 -31.764725)	45.271541946928096	Toodyay	Swan (C)	Single
860	264063	POINT (116.261689 -31.754054)	64.37671243137925	Toodyay	Swan (C)	Single
861	264610	POINT (115.921974 -31.799596)	275.4403320355798	Gnangara Rd (Westbound) on to Tonkin Hwy (Southbound)	Swan (C)	Single
862	264664	POINT (116.327041 -31.788499)	62.62229722866829	Werribee Rd	Mundaring	Single
863	264942	POINT (115.848932 -32.214908)	190.2012926535145	Kwinana Fwy	Kwinana (C)	Left
865	265412	POINT (116.010453 -32.29572)	194.58190106088608	South Western Hwy	Serpentine - Jarrahdale	Single
866	265490	POINT (115.987633 -32.423549)	184.76597405840926	South Western Hwy	Serpentine - Jarrahdale	Single
867	265622	POINT (115.981312 -31.701581)	191.6525040543628	Stock West Rd Rty on to Tonkin Hwy (Southbound)	Swan (C)	Single
868	266148	POINT (116.220935 -31.897421)	68.23231374610128	Great Eastern Hwy	Mundaring	Left
869	266448	POINT (116.263914 -31.881145)	48.55618109409113	Great Eastern Hwy	Mundaring	Right
